Inner diameter in m	DN	Cost in Euro/m	u value in W/mK
0.0161	15	284.00	0.133
0.0217	20	284.25	0.133
0.0273	25	284.50	0.163
0.0372	32	284.75	0.167
0.0431	40	285.00	0.193
0.0545	50	301.00	0.216
0.0703	65	324.50	0.258
0.0825	80	348.50	0.268
0.1071	100	397.00	0.279
0.1325	125	443.00	0.328
0.1603	150	485.00	0.389
