Code;Building age span from;Building age span to;Tabula Code;Net space heating in kWh/m2;Domestic hot water in kWh/m2
EFH_A;1800;1859;DE.N.SFH.01.Gen;184.1;6.3
EFH_B;1860;1918;DE.N.SFH.02.Gen;181;6.4
EFH_C;1919;1948;DE.N.SFH.03.Gen;163.8;7.2
EFH_D;1949;1957;DE.N.SFH.04.Gen;181.8;6.4
EFH_E;1958;1968;DE.N.SFH.05.Gen;179.7;6.5
EFH_F;1969;1978;DE.N.SFH.06.Gen;153.4;7.5
EFH_G;1979;1983;DE.N.SFH.07.Gen;119.8;8.8
EFH_H;1984;1994;DE.N.SFH.08.Gen;132.4;8.4
EFH_I;1995;2001;DE.N.SFH.09.Gen;121.5;9.9
EFH_J;2002;2009;DE.N.SFH.10.Gen;86.6;10.7
RH_B;1860;1918;DE.N.TH.02.Gen;155.3;7.5
RH_C;1919;1948;DE.N.TH.03.Gen;134.8;8.3
RH_D;1949;1957;DE.N.TH.04.Gen;152.4;7.6
RH_E;1958;1968;DE.N.TH.05.Gen;103.7;9.3
RH_F;1969;1978;DE.N.TH.06.Gen;123.8;8.7
RH_G;1979;1983;DE.N.TH.07.Gen;124.3;8.7
RH_H;1984;1994;DE.N.TH.08.Gen;94.9;9.6
RH_I;1995;2001;DE.N.TH.09.Gen;86.7;10.7
RH_J;2002;2009;DE.N.TH.10.Gen;77.3;10.9
MFH_A;1800;1859;DE.N.MFH.01.Gen;189.2;9.6
MFH_B;1860;1918;DE.N.MFH.02.Gen;144.6;12.1
MFH_C;1919;1948;DE.N.MFH.03.Gen;166.4;11
MFH_D;1949;1957;DE.N.MFH.04.Gen;154.3;11.5
MFH_E;1958;1968;DE.N.MFH.05.Gen;127.1;13.1
MFH_F;1969;1978;DE.N.MFH.06.Gen;131.3;12.9
MFH_G;1979;1983;DE.N.MFH.07.Gen;115.2;13.6
MFH_H;1984;1994;DE.N.MFH.08.Gen;118.9;13.4
MFH_I;1995;2001;DE.N.MFH.09.Gen;100.2;15.7
MFH_J;2002;2009;DE.N.MFH.10.Gen;63.8;16.7
GMH_B;1860;1918;DE.N.AB.02.Gen;123.1;13.2
GMH_C;1919;1948;DE.N.AB.03.Gen;142.1;12.3
GMH_D;1949;1957;DE.N.AB.04.Gen;140.4;12.4
GMH_E;1958;1968;DE.N.AB.05.Gen;128.6;13
GMH_F;1969;1978;DE.N.AB.06.Gen;114.6;13.6
