id;X;Y
1;358680.6165;5708368.586
2;358665.9372;5708449.976
3;358636.3653;5708554.312
4;358713.9257;5708576.095
5;358611.2429;5708640.919
6;358608.4403;5708793.796
7;358690.9748;5708791.498
8;358745.2366;5708686.48
9;358793.4246;5708616.837
10;358838.3813;5708532.496
11;358717.3576;5708471.078
12;358734.0155;5708435.406
13;358760.89;5708792.369
